neuron,category,formula,threshold
33,(((scene OR scene OR scene OR scene OR scene OR object) AND NOT object) OR scene OR object),(((badlands-s OR desert-sand-s OR oasis-s OR hoodoo-s OR canyon-s OR dam) AND NOT rock) OR butte-s OR semidesert ground),4.4
34,((((((((object OR scene) AND NOT part) OR scene) AND NOT color) OR scene) AND NOT object) OR scene) AND NOT (object OR object)),((((((((bed OR childs room-s) AND NOT footboard) OR pantry-s) AND NOT white-c) OR dorm room-s) AND NOT floor) OR youth hostel-s) AND NOT (floor OR wardrobe)),5.6
35,(scene OR object OR object OR object OR scene OR scene OR scene OR scene OR scene OR scene),(beach-s OR tent OR hovel OR caravan OR bayou-s OR manufactured home-s OR excavation-s OR campsite-s OR junkyard-s OR oasis-s),4.6
36,(object OR object OR object OR object OR object OR object OR object OR object OR object OR object),(boat OR ship OR aircraft carrier OR lighthouse OR cannon OR pier OR water tower OR dam OR pipe OR plane),4.5
37,(((scene OR scene OR scene OR object OR scene OR scene OR scene) AND NOT scene) OR scene OR scene),(((subway interior-s OR airplane cabin-s OR youth hostel-s OR swivel chair OR berth-s OR gymnasium-indoor-s OR operating room-s) AND NOT conference room-s) OR hospital room-s OR dentists office-s),4.2
38,((scene OR scene OR scene OR object OR scene OR object OR object OR scene OR scene) AND NOT object),((lighthouse-s OR bullring-s OR fairway-s OR plane OR batters box-s OR water tower OR pitch OR baseball field-s OR bullpen-s) AND NOT sea),3.9
39,(((((((object AND scene) OR object OR object) AND NOT color) OR object OR scene) AND NOT part) OR object) AND NOT object),(((((((bed AND bedroom-s) OR pool table OR swimming pool) AND NOT brown-c) OR pillow OR hotel-outdoor-s) AND NOT footboard) OR cushion) AND NOT sofa),5.0
40,((scene OR object OR object OR object OR object) AND NOT (scene OR object OR scene)),((cockpit-s OR pool table OR lockers OR bowling alley OR slot machine) AND NOT (bar-s OR door OR amusement arcade-s)),4.1
41,((scene OR object OR object OR object OR object OR material OR scene) AND NOT (object OR scene OR object)),((butchers shop-s OR rubble OR carousel OR meat OR badlands OR food OR hoodoo-s) AND NOT (earth OR delicatessen-s OR mountain)),3.9
42,((((((object AND NOT color) AND scene) OR object) AND NOT (part OR color)) OR object OR part) AND NOT (scene OR object)),((((((bed AND NOT black-c) AND bedroom-s) OR pillow) AND NOT (footboard OR red-c)) OR eiderdown OR headboard) AND NOT (childs room-s OR table)),11.4
43,(scene OR object OR scene OR scene OR object OR object OR object OR object OR object OR object),(playground-s OR inflatable bounce game OR sandbox-s OR ball pit-s OR carousel OR tent OR ride OR roller coaster OR playground OR helicopter),4.5
44,(((object OR object OR scene OR object OR object OR scene OR scene OR object) AND NOT scene) OR scene),(((washer OR waterfall OR crevasse-s OR trench OR washing machines OR gulch-s OR earth fissure-s OR tumble dryer) AND NOT waterfall-fan-s) OR car interior-backseat-s),4.8
45,((((object OR part) AND NOT (scene OR scene)) OR part OR object) AND NOT (scene OR scene)),((((house OR roof) AND NOT (bow window-outdoor-s OR garage-outdoor-s)) OR roof OR cabin) AND NOT (military hut-s OR building facade-s)),4.9
46,(object OR object OR object OR object OR object OR object OR object OR scene OR object),(pool table OR washer OR arcade machine OR bowling alley OR table tennis OR synthesizer OR washing machines OR runway-s OR table football),4.5
47,((((object OR part OR object OR scene OR object OR object OR scene) AND NOT color) OR object) AND NOT scene),((((pool table OR crosswalk OR tennis court OR basketball court-outdoor-s OR pitch OR track OR batters box-s) AND NOT black-c) OR table tennis) AND NOT crosswalk-s),5.0
48,(((object OR object OR object OR object OR object) AND NOT (scene OR object OR color)) OR object OR object),(((sink OR toilet OR countertop OR washer OR bathtub) AND NOT (laundromat-s OR floor OR red-c)) OR bidet OR tumble dryer),5.4
49,(((((scene OR scene OR scene OR scene) AND NOT object) OR scene OR scene OR scene) AND NOT object) OR scene),(((((conference room-s OR lecture room-s OR banquet hall-s OR classroom-s) AND NOT floor) OR conference center-s OR bistro-indoor-s OR inn-indoor-s) AND NOT wall) OR funeral chapel-s),4.7
50,(((scene OR scene OR object OR scene OR scene OR scene) AND NOT object) OR scene OR object OR object),(((cemetery-s OR mausoleum-s OR hovel OR manufactured home-s OR shed-s OR hut-s) AND NOT earth) OR kennel-outdoor-s OR temple OR caravan),3.6
51,(((scene OR object OR object OR object) AND NOT (scene OR scene)) OR scene OR scene),(((reception-s OR ticket counter OR box office OR bar) AND NOT (bar-s OR wet bar-s)) OR ice cream parlor-s OR kiosk-indoor-s),4.8
52,(((((scene OR scene OR scene OR scene) AND NOT object) OR scene OR scene OR scene) AND NOT object) OR scene),(((((forest-broadleaf-s OR forest path-s OR forest road-s OR oasis-s) AND NOT rock) OR mountain road-s OR desert-vegetation-s OR savanna-s) AND NOT earth) OR field road-s),5.3
53,((scene OR object OR object OR scene OR object OR object OR scene OR object OR object) AND NOT part),((sauna-s OR hovel OR pier OR shed-s OR footbridge OR deck OR military hut-s OR shed OR henhouse) AND NOT roof),4.7
54,((((scene OR scene OR scene OR scene) AND NOT object) OR object OR object OR scene OR object) AND NOT object),((((airport terminal-s OR shopping mall-indoor-s OR airport ticket counter-s OR booth-indoor-s) AND NOT ceiling) OR escalator OR aquarium OR subway station-platform-s OR ticket counter) AND NOT platform),4.7
55,((scene OR object OR scene OR scene OR scene OR object OR scene) AND NOT (object OR object)),((kasbah-s OR ruins OR medina-s OR donjon-s OR catacomb-s OR mosque OR moat-water-s) AND NOT (grass OR rock)),4.3
56,(((scene AND object) OR object OR object OR part OR object OR object OR scene) AND NOT (object OR scene)),(((dining room-s AND table) OR pool table OR lamp OR headboard OR sconce OR slot machine OR bistro-indoor-s) AND NOT (painting OR poolroom-establishment-s)),6.3
57,(scene OR scene OR scene OR scene OR scene OR object OR object OR object OR object OR object),(excavation-s OR earth fissure-s OR sandbox-s OR archaelogical excavation-s OR dirt track-s OR bulldozer OR trench OR acropolis OR rubble OR badlands),4.3
58,(scene OR scene OR object OR scene OR object OR object OR object OR scene OR scene OR scene),(closet-s OR gas station-s OR telephone booth OR bank vault-s OR escalator OR playground OR revolving door OR elevator-freight elevator-s OR fitting room-exterior-s OR car interior-backseat-s),4.3
59,(object OR scene OR scene OR scene OR scene OR object OR object OR object OR scene OR object),(plane OR galley-s OR heliport-s OR limousine interior-s OR bus interior-s OR dashboard OR temple OR steering wheel OR pagoda-s OR helicopter),3.8
60,(scene OR scene OR object OR object OR scene OR object OR object OR scene OR object OR object),(locker room-s OR fitting room-interior-s OR screen door OR elevator door OR fitting room-exterior-s OR shower OR grille door OR medina-s OR shirt OR elevator),5.2
61,(scene OR scene OR object OR scene OR scene OR object OR scene OR object OR scene OR object),(heliport-s OR arch-s OR plane OR playground-s OR cavern-indoor-s OR roller coaster OR downtown-s OR helicopter OR lift bridge-s OR aqueduct),4.0
62,((object OR scene OR scene OR scene OR scene OR scene OR scene OR scene) AND NOT (scene OR scene)),((field OR marsh-s OR corn field-s OR river-s OR bayou-s OR covered bridge-exterior-s OR bog-s OR irrigation ditch-s) AND NOT (valley-s OR field-cultivated-s)),4.8
63,(((scene OR scene OR scene OR object OR scene OR object OR object OR scene) AND NOT object) OR scene),(((boxing ring-s OR wrestling ring-indoor-s OR catwalk-s OR track OR fitting room-interior-s OR tennis court OR podium OR mountain road-s) AND NOT floor) OR labyrinth-indoor-s),3.8
64,((((((object OR object OR object OR scene) AND NOT object) OR scene) AND NOT object) OR object OR object) AND NOT scene),((((((pool table OR arcade machine OR slot machine OR bus interior-s) AND NOT seat) OR subway interior-s) AND NOT floor) OR table tennis OR steering wheel) AND NOT bar-s),4.9
65,(scene OR scene OR scene OR scene OR part OR object OR object OR scene OR scene OR scene),(hospital-s OR ice skating rink-indoor-s OR bullring-s OR atrium-public-s OR windows OR fountain OR ring OR parking garage-outdoor-s OR airport-entrance-s OR formal garden-s),4.3
66,(((scene OR scene OR scene OR scene OR scene OR object) AND NOT color) OR scene),(((bus interior-s OR youth hostel-s OR dinette-vehicle-s OR dining car-s OR pilothouse-indoor-s OR pillow) AND NOT red-c) OR youth hostel-s),4.6
67,(((scene OR scene OR scene OR scene OR object OR object OR scene) AND NOT color) OR scene OR scene),(((park-s OR playground-s OR volleyball court-outdoor-s OR gazebo-exterior-s OR shelter OR service station OR barnyard-s) AND NOT white-c) OR beer garden-s OR ski slope-s),4.8
68,((scene OR scene OR scene OR part OR object) AND NOT (scene OR object)),((classroom-s OR lecture room-s OR cafeteria-s OR head OR blackboard) AND NOT (conference room-s OR seat)),4.6
69,(scene OR scene OR scene OR object OR scene OR object OR scene OR object OR object OR object),(shed-s OR outhouse-outdoor-s OR elevator-door-s OR arcade machine OR elevator-interior-s OR telephone booth OR elevator-freight elevator-s OR henhouse OR washer OR pool table),4.5
70,((((object OR scene) AND NOT color) OR object OR object) AND NOT (part OR scene OR scene OR scene OR color)),((((bed OR ball pit-s) AND NOT brown-c) OR cushion OR pillow) AND NOT (footboard OR dorm room-s OR youth hostel-s OR living room-s OR red-c)),4.7
71,(scene OR part OR object OR object OR object OR scene OR scene OR scene OR scene OR scene),(lobby-s OR balcony OR slot machine OR bowling alley OR washing machines OR movie theater-outdoor-s OR throne room-s OR food court-s OR conference center-s OR landing-s),4.5
72,(((object OR scene OR scene OR object OR scene OR object) AND NOT scene) OR scene OR object OR scene),(((water OR classroom-s OR marsh-s OR river OR lecture room-s OR pond) AND NOT river-s) OR food court-s OR lake OR cafeteria-s),3.5
73,((object AND color) OR object OR object OR part OR scene OR scene OR object OR scene OR object),((mountain AND blue-c) OR railroad train OR cow OR wave OR barn-s OR ranch house-s OR smoke OR manufactured home-s OR horse),3.5
74,(scene OR scene OR scene OR scene OR scene OR object OR scene OR object OR scene OR scene),(abbey-s OR cloister-outdoor-s OR formal garden-s OR temple-east asia-s OR topiary garden-s OR ruins OR mission-s OR bandstand OR palace-s OR mausoleum-s),5.1
75,((scene OR scene OR object OR scene OR scene OR scene OR object OR object OR scene) AND NOT object),((jail cell-s OR badlands-s OR grill OR runway-s OR kennel-outdoor-s OR kennel-indoor-s OR scaffolding OR playground OR jail-indoor-s) AND NOT tree),4.2
76,(scene OR scene OR scene OR object OR object OR scene OR scene),(car interior-backseat-s OR catwalk-s OR rope bridge-s OR dashboard OR manhole OR auto showroom-s OR covered bridge-interior-s),3.7
77,(scene OR scene OR scene OR scene OR object OR object OR object OR object OR object OR object),(harbor-s OR industrial area-s OR waterfall-block-s OR viaduct-s OR railroad train OR railway OR chimney OR pier OR tower OR aircraft carrier),3.7
78,(scene OR object OR scene OR scene OR object OR object OR scene),(topiary garden-s OR hedge OR hedge maze-s OR formal garden-s OR vineyard OR island OR cottage garden-s),5.0
79,(scene OR scene OR scene OR object OR scene OR scene OR object OR object OR object OR object),(supermarket-s OR assembly line-s OR auto factory-s OR stands OR checkout counter-s OR toyshop-s OR jersey OR machine OR machinery OR controls),3.7
80,((((scene OR scene OR object OR object) AND NOT scene) OR scene OR object OR part OR scene) AND NOT object),((((arrival gate-outdoor-s OR airport-s OR water tower OR bridge) AND NOT bridge-s) OR runway-s OR mosque OR fuselage OR freeway-s) AND NOT road),5.3
81,(scene OR scene OR object OR object OR scene OR scene OR object OR scene OR object OR object),(gazebo-exterior-s OR temple-east asia-s OR canopy OR carousel OR throne room-s OR joss house-s OR big top OR pagoda-s OR shelter OR temple),3.9
82,(scene OR scene OR part OR scene OR scene OR object OR object OR scene OR scene OR scene),(home theater-s OR television studio-s OR screen OR parking garage-outdoor-s OR booth-indoor-s OR gate OR television OR music studio-s OR limousine interior-s OR downtown-s),3.6
83,((object OR scene OR object OR scene OR object OR object OR scene) AND NOT (object OR scene OR scene)),((case OR classroom-s OR bar OR lecture room-s OR patty OR blackboard OR assembly line-s) AND NOT (shelf OR game room-s OR bakery-kitchen-s)),3.8
84,(object OR scene OR object OR scene OR object OR scene OR scene OR scene OR object OR object),(skyscraper OR rope bridge-s OR tent OR elevator shaft-s OR escalator OR oast house-s OR covered bridge-interior-s OR subway station-corridor-s OR clock OR instrument panel),4.1
85,((((object OR scene OR scene OR scene OR scene OR object) AND NOT object) OR part OR object) AND NOT scene),((((house OR jail cell-s OR jail-indoor-s OR archive-s OR kennel-indoor-s OR lockers) AND NOT house) OR balcony OR merchandise) AND NOT street-s),4.8
86,((((object OR scene OR scene OR scene OR scene OR scene) AND NOT object) OR part OR scene) AND NOT scene),((((house OR industrial park-s OR bank-outdoor-s OR library-outdoor-s OR banquet hall-s OR village-s) AND NOT sky) OR garage door OR hangar-outdoor-s) AND NOT building facade-s),3.7
87,((scene OR scene OR object OR scene OR scene) AND NOT (object OR object)),((alley-s OR corridor-s OR dirt track OR medina-s OR forest road-s) AND NOT (plant OR sea)),5.2
88,((object OR object OR scene OR object OR object) AND NOT scene),((fountain OR waterfall OR fountain-s OR hot tub OR sculpture) AND NOT hot tub-indoor-s),4.7
89,((((object OR object) AND NOT scene) OR scene) AND NOT (scene OR scene)),((((mountain OR waterfall) AND NOT mountain snowy-s) OR village-s) AND NOT (gulch-s OR road cut-s)),4.6
90,(((scene OR scene OR scene OR scene OR object OR object OR scene) AND NOT object) OR object OR object),(((carrousel-s OR auto factory-s OR kennel-indoor-s OR subway interior-s OR scaffolding OR lockers OR assembly line-s) AND NOT person) OR merchandise OR carousel),4.4
91,(scene OR object OR scene OR scene OR scene OR scene OR object OR scene OR object OR scene),(pasture-s OR tent OR junkyard-s OR campsite-s OR barn-s OR ranch-s OR henhouse OR savanna-s OR cow OR volleyball court-outdoor-s),4.2
92,(((scene AND NOT object) OR object OR scene OR object OR object OR scene OR part OR scene) AND NOT object),(((highway-s AND NOT sky) OR bridge OR viaduct-s OR aqueduct OR lighthouse OR barn-s OR clouds OR freeway-s) AND NOT tree),4.7
93,(scene OR scene OR object OR scene OR scene OR scene OR object OR scene OR object OR scene),(zen garden-s OR gazebo-exterior-s OR hovel OR shed-s OR mausoleum-s OR basketball court-outdoor-s OR temple OR volleyball court-outdoor-s OR shelter OR boathouse-s),4.8
94,(((object OR object) AND color) OR scene OR object OR object OR scene OR scene OR scene OR scene),(((plant OR field) AND green-c) OR rope bridge-s OR toilet OR terraces OR assembly line-s OR swimming pool-indoor-s OR fire escape-s OR jail cell-s),4.2
95,((object OR scene OR scene OR scene OR object OR part OR scene) AND NOT scene),((pool table OR sandbox-s OR cheese factory-s OR bakery-kitchen-s OR bowling alley OR head OR auto mechanics-indoor-s) AND NOT delicatessen-s),3.8
96,(((object OR scene OR object OR object OR scene OR scene OR object OR scene) AND NOT scene) OR object),(((court OR volleyball court-outdoor-s OR tennis court OR pitch OR badminton court-outdoor-s OR basketball court-outdoor-s OR net OR labyrinth-indoor-s) AND NOT football field-s) OR sand trap),5.0
97,((scene OR scene OR object OR object OR object OR object) AND NOT (object OR object)),((carrousel-s OR gazebo-exterior-s OR water tower OR big top OR carousel OR bandstand) AND NOT (house OR chair)),3.8
98,((scene OR object OR scene OR scene OR object OR object OR object OR object OR scene) AND NOT object),((cockpit-s OR tower OR bank vault-s OR elevator-door-s OR pulpit OR elevator OR bandstand OR altar OR doorway-outdoor-s) AND NOT building),4.0
99,(object OR scene OR scene OR object OR object OR object OR scene OR scene OR scene OR scene),(dome OR arch-s OR observatory-outdoor-s OR tunnel OR aqueduct OR mosque OR cathedral-indoor-s OR church-indoor-s OR planetarium-outdoor-s OR dolmen-s),4.6
100,((((scene AND NOT (object OR object OR object OR object OR color)) OR object) AND NOT (color OR color)) OR part),((((bathroom-s AND NOT (door OR curtain OR windowpane OR towel OR pink-c)) OR screen door) AND NOT (red-c OR purple-c)) OR water tank),4.9
101,((((object OR object OR scene OR object OR object OR object OR scene) AND NOT object) OR object) AND NOT scene),((((bathtub OR toilet OR shower-s OR cradle OR screen door OR shower OR fitting room-interior-s) AND NOT floor) OR towel) AND NOT bedroom-s),5.0
102,(scene OR scene OR scene OR object OR object OR object OR scene OR scene OR object OR scene),(corridor-s OR subway interior-s OR elevator lobby-s OR revolving door OR box office OR ticket window OR manufactured home-s OR military hut-s OR railroad train OR subway station-platform-s),5.4
103,(object OR object OR part OR part OR scene),(cradle OR autobus OR fire escape OR safety side OR bus depot-outdoor-s),4.6
104,(((object OR object OR object OR object OR scene OR scene OR scene) AND NOT (object OR scene)) OR object),(((sea OR waterfall OR island OR iceberg OR lagoon-s OR fjord-s OR waterfall-block-s) AND NOT (sky OR lighthouse-s)) OR lighthouse),5.0
105,(((object OR scene OR scene OR scene OR scene OR scene OR scene) AND NOT object) OR object OR object),(((rock OR creek-s OR mountain path-s OR temple-east asia-s OR fishpond-s OR zen garden-s OR waterfall-cascade-s) AND NOT tree) OR valley OR aqueduct),3.6
106,(((object OR scene OR scene OR scene OR object OR scene OR object OR scene) AND NOT scene) OR scene),(((pitch OR bullring-s OR volleyball court-outdoor-s OR batters box-s OR grandstand OR baseball field-s OR tennis court OR badminton court-outdoor-s) AND NOT amphitheater-s) OR bullpen-s),4.2
107,((scene OR object OR scene OR object OR scene OR scene OR object) AND NOT scene),((playroom-s OR arcade machine OR kindergarden classroom-s OR plaything OR day care center-s OR convenience store-outdoor-s OR inflatable bounce game) AND NOT nursery-s),5.0
108,((((object OR scene OR scene OR scene OR scene OR scene) AND NOT object) OR object OR scene) AND NOT scene),((((pool table OR fairway-s OR golf course-s OR bullpen-s OR baseball field-s OR stadium-baseball-s) AND NOT floor) OR pool OR lagoon-s) AND NOT lido deck-outdoor-s),5.1
109,(scene OR object OR scene),(art gallery-s OR drawing OR museum-indoor-s),4.7
110,(((scene OR scene OR scene OR scene OR scene OR object OR object OR scene) AND NOT object) OR scene),(((greenhouse-indoor-s OR vegetable garden-s OR herb garden-s OR archaelogical excavation-s OR hat shop-s OR vineyard OR manhole OR beer garden-s) AND NOT tree) OR orchard-s),3.8
111,((((object OR object OR scene OR scene OR object) AND NOT scene) OR scene OR scene OR object) AND NOT scene),((((field OR autobus OR fire station-s OR field-cultivated-s OR terraces) AND NOT field-wild-s) OR football field-s OR dolmen-s OR inflatable bounce game) AND NOT hill-s),3.9
112,((((scene OR part) AND object) OR object) AND NOT (scene OR object)),((((conference room-s OR top) AND table) OR bouquet) AND NOT (bar-s OR floor)),8.0
113,((scene OR scene OR object OR scene OR object OR object OR scene OR object OR scene) AND NOT object),((bowling alley-s OR temple-east asia-s OR escalator OR viaduct-s OR tunnel OR aqueduct OR covered bridge-interior-s OR dam OR pagoda-s) AND NOT water),3.9
114,(((scene OR object OR scene OR scene OR scene OR scene OR scene OR scene) AND NOT color) OR object),(((conference room-s OR plane OR heliport-s OR arrival gate-outdoor-s OR runway-s OR witness stand-s OR landing deck-s OR air base-s) AND NOT black-c) OR plane),4.9
115,(object OR scene OR scene OR scene OR scene OR object OR object OR object OR object OR object),(aquarium OR junkyard-s OR beach house-s OR military hut-s OR water mill-s OR caravan OR animal OR fish OR straw OR tent),3.5
116,((((scene OR scene OR object OR scene OR scene OR scene) AND NOT (object OR color)) OR object) AND NOT object),((((roundabout-s OR bayou-s OR palm OR volleyball court-outdoor-s OR golf course-s OR flood-s) AND NOT (grass OR blue-c)) OR palm) AND NOT earth),4.4
117,((scene OR scene OR part) AND NOT (scene OR color OR scene OR scene OR scene)),((airplane cabin-s OR hot spring-s OR shade) AND NOT (living room-s OR red-c OR kitchen-s OR lobby-s OR conference room-s)),4.3
118,((object OR scene OR scene OR scene) AND NOT (object OR object OR scene)),((skyscraper OR downtown-s OR oast house-s OR freeway-s) AND NOT (tree OR bridge OR building facade-s)),4.4
119,((((object OR object OR object OR object OR object OR object OR object) AND NOT object) OR object) AND NOT object),((((sidewalk OR railroad train OR pier OR railway OR platform OR deck OR footbridge) AND NOT building) OR tracks) AND NOT road),4.9
120,((scene OR scene OR object OR object OR object OR object OR scene OR object OR object) AND NOT scene),((water tower-s OR gazebo-exterior-s OR telephone booth OR controls OR watchtower OR box office OR outhouse-outdoor-s OR caravan OR arcade machine) AND NOT amusement arcade-s),4.2
121,((((((scene OR scene OR scene OR scene) AND NOT object) OR scene) AND NOT color) OR scene OR scene) AND NOT object),((((((park-s OR campus-s OR forest-broadleaf-s OR forest path-s) AND NOT grass) OR botanical garden-s) AND NOT black-c) OR forest road-s OR campus-s) AND NOT path),5.1
122,((((scene OR scene OR object OR scene OR object OR object) AND NOT (color OR object)) OR object) AND NOT color),((((zen garden-s OR desert-sand-s OR labyrinth OR manhole-s OR temple OR straw) AND NOT (orange-c OR mountain)) OR forecourt) AND NOT orange-c),4.8
